pervote_chanc,pervote_partner,topic,salience_chanc,salience_partner,salience_gov,salience_seat,salience_perc,salience_diff,lp,next_election,election,election_date,start_date,total_seats,maj_size,party_chanc,party_partner,seats_chanc,seats_partner,rile_chanc,rile_partner,left_right_chanc,left_right_partner,ideo_chanc,ideo_partner,ideo_gov,left_right_gov,left_right_seat,left_right_perc,rile_diff,bundesratmaj,time,gov,n_laws,europe,mip_share,account_balance_perc_delta,account_balance_perc
33.8,14.563,1,0.110662824207493,0.0785185185185185,0.0945906713630057,10.1658545806666,0.10098357511731,0.0321443056889743,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,65,0.32476940389914255,26.827764468085107,0.19378804308570988,6.389846057867095
33.8,14.563,10,0.0368876080691643,0.0241975308641975,0.0305425694666809,3.3332857526809097,0.033066389486034,0.0126900772049667,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,40,0.5689023925904254,0.4942031914893617,0.19378804308570988,6.389846057867095
33.8,14.563,12,0.100864553314121,0.062716049382716,0.0817903013484186,9.017837600803471,0.0893773283125072,0.038148503931405,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,84,0.3392430107833439,3.3745529787234045,0.19378804308570988,6.389846057867095
33.8,14.563,13,0.0547550432276657,0.0883950617283951,0.0715750524780304,6.417830142214711,0.0648846793012369,0.0336400185007294,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,22,0.2530784818018861,5.248794042553191,0.19378804308570988,6.389846057867095
33.8,14.563,14,0.0420749279538905,0.014320987654321,0.0281979578041057,3.43004808217822,0.0337176996474862,0.0277539402995695,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,5,0.278419452887538,0.07416212765957446,0.19378804308570988,6.389846057867095
33.8,14.563,15,0.0610951008645533,0.0859259259259259,0.0735105133952396,6.805072354740769,0.0685721247333946,0.0248308250613726,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,61,0.6771648441398672,0.004033829787234043,0.19378804308570988,6.389846057867095
33.8,14.563,16,0.0236311239193084,0.04,0.0318155619596542,2.82163813756467,0.0285600973569179,0.0163688760806916,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,16,0.23479005507456402,0.6268914893617021,0.19378804308570988,6.389846057867095
33.8,14.563,17,0.0322766570605187,0.037037037037037,0.0346568470487779,3.36101369937001,0.0337100961275335,0.00476037997651831,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,9,0.2524770546516479,0.00072191489361702135,0.19378804308570988,6.389846057867095
33.8,14.563,18,0.0109510086455331,0.0123456790123457,0.0116483438289394,1.1341684380815,0.0113709698669605,0.00139467036681254,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,9,0.2183342972816657,0.16083617021276594,0.19378804308570988,6.389846057867095
33.8,14.563,19,0.0634005763688761,0.101728395061728,0.0825644857153022,7.41369834123558,0.0749417963846735,0.0383278186928523,17,2013-09-22,2009,2009-09-27,2009-10-28,622,332,CDU,FDP,239,93,8.724,4.272,6.2503,5.9233,1,0,CDU-FDP,6.0868,10.9929494623656,6.1518342100366,4.452,0,8,gov_8,36,0.33803736030671344,9.811238723404255,0.19378804308570988,6.389846057867095
